name;role;nat;height;age;tm_name;gp;w;l;w_pct;min;pts;two_ptm;two_pta;two_pt_pct;three_ptm;three_pta;three_pt_pct;fgm;fga;fg_pct;ftm;fta;ft_pct;or_rebounds;dr_rebounds;tr_rebounds;ast;tovers;st;blk;blka;pf;df;val;plus_minus;poss;usg_pct;ppp;off_rtg_on;def_rtg_on;net_rtg_on;ind_off_rtg;ind_def_rtg;ind_net_rtg;efg_pct;ts_pct;rim_freq;rim_pps;paint_freq;paint_pps;mid_freq;mid_pps;c3_freq;c3_pps;l3_freq;l3_pps;ft_ratio;to_pct;lto_pct;dto_pct;ast_pct;ast_pct_2p;ast_pct_3p;ast_pct_ft;ast_ratio;ast_to_ratio;or_pct;or_pct_after_2p;or_pct_after_3p;or_pct_after_ft;dr_pct;dr_pct_after_2p;dr_pct_after_3p;dr_pct_after_ft;tr_pct;st_pct;blk_pct;blk_pct_2p;blk_pct_3p;pf_100_poss;df_100_poss;per;off_win_share;def_win_share;win_share;win_share_per_40;obpm;dbpm;bpm;vorp;tm_pace_on;tm_off_rtg_on;tm_def_rtg_on;tm_net_rtg_on;tm_ts_pct_on;tm_or_pct_on;tm_to_pct_on;tm_ft_ratio_on;opp_ts_pct_on;opp_or_pct_on;opp_to_pct_on;opp_ft_ratio_on;tm_pace_off;tm_off_rtg_off;tm_def_rtg_off;tm_net_rtg_off;tm_ts_pct_off;tm_or_pct_off;tm_to_pct_off;tm_ft_ratio_off;opp_ts_pct_off;opp_or_pct_off;opp_to_pct_off;opp_ft_ratio_off;tm_pace_net;tm_off_rtg_net;tm_def_rtg_net;tm_net_rtg_net;tm_ts_pct_net;tm_or_pct_net;tm_to_pct_net;tm_ft_ratio_net;opp_ts_pct_net;opp_or_pct_net;opp_to_pct_net;opp_ft_ratio_net
Justin Bean;F/PF;USA;201;28;ALBA Berlin;27;5;22;0,185185185;15,48148148;3,888888889;1,037037037;2,185185185;0,474576271;0,481481481;1,333333333;0,361111111;1,518518519;3,518518519;0,431578947;0,37037037;0,518518519;0,714285714;0,925925926;2,074074074;3;0,703703704;0,481481481;0,740740741;0,407407407;0,111111111;1,185185185;1,111111111;5,925925926;-4,111111111;4,222222222;0,129692833;0,921052632;103,125;117,578125;-14,453125;101,1298718;105,0998047;-3,969932938;0,5;0,51980198;0,140350877;1,375;0,236842105;0,666666667;0,140350877;1;0,105263158;1,25;0,210526316;1;0,052631579;0,114035088;0,070175439;0,043859649;0,061290323;0,044198895;0,147058824;0,016393443;0,142857143;1,461538462;0,067750678;0,072164948;0,070967742;0;0,16519174;0,14556962;0,190789474;0,121212121;0,11440678;0,026041667;0,016793893;0,021052632;0;4,166666667;3,90625;15,09357921;-0,091986554;0,704034369;0,612047815;0,058569169;-3,015316879;1,696270523;-1,319046356;0,208391757;73,73684842;103,125;117,578125;-14,453125;0,545454545;0,295392954;0,174061433;0,081911263;0,617647059;0,345132743;0,204755614;0,100396301;73,14021556;103,7098104;116,557377;-12,84756666;0,557130204;0,309153713;0,19010043;0,075322812;0,602032176;0,333944954;0,144350098;0,077073808;0,59663286;-0,584810387;1,020747951;-1,605558338;-0,011675658;-0,013760759;-0,016038997;0,006588451;0,015614883;0,011187789;0,060405516;0,023322493
Sterling Brown;SG;USA;198;29;ALBA Berlin;29;4;25;0,137931034;24,10344828;11,24137931;2,034482759;4,448275862;0,457364341;1,931034483;5,413793103;0,356687898;3,965517241;9,862068966;0,402097902;1,379310345;1,482758621;0,930232558;0,724137931;2,551724138;3,275862069;2,413793103;1,931034483;0,75862069;0,172413793;0,620689655;2,068965517;1,413793103;8,655172414;-6;12,4137931;0,246575342;0,905555556;104,5383412;119,4620253;-14,92368416;103,2131393;109,5026812;-6,28954186;0,5;0,536184211;0,136111111;1,265306122;0,169444444;0,786885246;0,052777778;0,421052632;0,061111111;1,636363636;0,372222222;0,985074627;0,05;0,155555556;0,086111111;0,069444444;0,151843818;0,15648855;0,191919192;0,1;0,162790698;1,25;0,034941764;0,042345277;0,026315789;0;0,122719735;0,123287671;0,114814815;0,125;0,078903654;0,017405063;0,004370629;0,005934718;0;4,746835443;3,208137715;15,44252993;-0,137889825;0,917162205;0,77927238;0,044593555;-1,095864759;-1,832465845;-2,928330604;-0,44231566;73,07206671;104,5383412;119,4620253;-14,92368416;0,560402685;0,296173045;0,183561644;0,08630137;0,595895817;0,330016584;0,151957022;0,094397544;71,93484163;104,9516908;115,9574468;-11,00575599;0,549304678;0,300492611;0,169117647;0,067226891;0,607806691;0,350684932;0,147757256;0,074758135;1,137225077;-0,413349663;3,504578508;-3,917928171;0,011098007;-0,004319566;0,014443997;0,019074479;-0,011910875;-0,020668348;0,004199766;0,019639409
Malte Delow;SG;GER;194;23;ALBA Berlin;34;5;29;0,147058824;16,97058824;5,176470588;1;2,088235294;0,478873239;0,882352941;2,735294118;0,322580645;1,882352941;4,823529412;0,390243902;0,529411765;0,676470588;0,782608696;0,823529412;1,441176471;2,264705882;2,352941176;1,735294118;0,764705882;0,088235294;0,176470588;2,205882353;1,205882353;4,647058824;-1,911764706;6,852941176;0,188206785;0,755364807;108,4825636;114,5009416;-6,018378;100,4359814;106,7225208;-6,286539454;0,481707317;0,505747126;0,090128755;1,714285714;0,188841202;0,636363636;0,025751073;0,666666667;0,008583691;0;0,386266094;1;0,042918455;0,253218884;0,158798283;0,094420601;0,183066362;0,170124481;0,303571429;0,05952381;0,255591054;1,355932203;0,055888224;0,074561404;0,040816327;0,043478261;0,10864745;0,117117117;0,107692308;0,022727273;0,080882353;0,024482109;0,003416856;0,003824092;0,002816901;7,062146893;3,864278982;10,14726386;-0,250404355;0,869544272;0,619139918;0,042921311;-3,055916674;-0,744763244;-3,800679918;-0,604065298;73,92011147;108,4825636;114,5009416;-6,018378;0,572067594;0,347305389;0,187399031;0,07996769;0,612903226;0,314855876;0,208373905;0,111002921;72,17509332;101,551481;121,3483146;-19,79683365;0,539730135;0,277936963;0,173993808;0,074303406;0,608879493;0,352583587;0,12962963;0,069716776;1,745018157;6,93108266;-6,847372987;13,77845565;0,03233746;0,069368426;0,013405223;0,005664284;0,004023733;-0,037727711;0,078744275;0,041286146
Martin Hermannsson;PG/SG;ICE;190;30;ALBA Berlin;12;1;11;0,083333333;20,41666667;7,166666667;1,916666667;4,5;0,425925926;0,666666667;1,916666667;0,347826087;2,583333333;6,416666667;0,402597403;1,333333333;1,333333333;1;0,083333333;1,416666667;1,5;4,166666667;2,25;0,75;0,166666667;0,666666667;1,583333333;1,916666667;7,333333333;-8,333333333;9,166666667;0,218253968;0,781818182;106,3636364;126,5033408;-20,13970439;113,6042198;116,6360907;-3,031870955;0,454545455;0,518072289;0,090909091;0,8;0,245454545;0,814814815;0,154545455;0,941176471;0,009090909;0;0,2;1,090909091;0,054545455;0,245454545;0,2;0,045454545;0,303030303;0,258064516;0,510204082;0,043478261;0,3125;1,851851852;0,004545455;0;0,010416667;0;0,083333333;0,075268817;0,091836735;0,1;0,04245283;0,020044543;0,004819277;0,004048583;0,005952381;4,231625835;5,227272727;12,57529272;0,250649714;0,158281941;0,408931656;0,066764352;-3,170805571;-3,827545421;-6,998350992;-2,017260841;71,92970506;106,3636364;126,5033408;-20,13970439;0,555819477;0,290909091;0,16468254;0,05952381;0,625550661;0,328431373;0,134328358;0,08315565;75,13279977;101,1312217;118,3908046;-17,25958288;0,545121951;0,289099526;0,18972332;0,071146245;0,62804878;0,303191489;0,151851852;0,072222222;-3,203094712;5,232414644;8,11253616;-2,880121515;0,010697526;0,001809565;-0,02504078;-0,011622436;-0,00249812;0,025239883;-0,017523494;0,010933428
Christ Koumadje;C;CHA;223;28;ALBA Berlin;28;5;23;0,178571429;16,60714286;5,642857143;2,285714286;3,642857143;0,62745098;0;0;-;2,285714286;3,642857143;0,62745098;1,071428571;1,571428571;0,681818182;2,107142857;3,285714286;5,392857143;0,25;0,892857143;0,392857143;0,857142857;0,285714286;2,071428571;1,571428571;9;-3;5,25;0,147738693;1,074829932;103,5460993;114,0142518;-10,46815249;112,8219804;100,9894129;11,83256751;0,62745098;0,647540984;0,387755102;1,578947368;0,285714286;0,857142857;0,020408163;0,666666667;0;-;0;-;0,136054422;0,170068027;0,047619048;0,12244898;0,022875817;0,006578947;0,047169811;0,020833333;0,045454545;0,28;0,141486811;0,145374449;0,147058824;0,052631579;0,223300971;0,237373737;0,206349206;0,176470588;0,182147165;0,013064133;0,032520325;0,04691358;0;6,888361045;5,200945626;21,24651964;0,244108154;0,976829797;1,220937951;0,10502692;-3,342139849;0,778199992;-2,563939856;-0,185130588;72,89699494;103,5460993;114,0142518;-10,46815249;0,545454545;0,350119904;0,192964824;0,071356784;0,583232078;0,29368932;0,164719626;0,099299065;72,64594505;106,4651553;120,6494588;-14,18430345;0,561061947;0,290940767;0,169728141;0,079353417;0,628360798;0,358415842;0,154825737;0,077077748;0,251049885;-2,919056041;-6,635207003;3,716150962;-0,015607401;0,059179138;0,023236683;-0,007996633;-0,04512872;-0,064726521;0,009893889;0,022221317
Jonas Mattisseck;SG;GER;194;24;ALBA Berlin;26;3;23;0,115384615;12,11538462;3,307692308;0,192307692;0,576923077;0,333333333;0,884615385;2,038461538;0,433962264;1,076923077;2,615384615;0,411764706;0,269230769;0,269230769;1;0,076923077;0,538461538;0,615384615;0,538461538;0,269230769;0,346153846;0;0;1,769230769;1,230769231;2,461538462;-4,884615385;3;0,1201849;1,102564103;98,57651246;119,2644483;-20,68793588;110,3247057;112,495552;-2,170846277;0,580882353;0,605633803;0;-;0,076923077;0,666666667;0,115384615;0,666666667;0,128205128;1,5;0,551282051;1,255813953;0,038461538;0,08974359;0,064102564;0,025641026;0,064814815;0,043165468;0,184210526;0,025641026;0,152173913;2;0,007067138;0,006329114;0,008928571;0;0,058823529;0,072072072;0,056074766;0;0,030710173;0,015761821;0;0;0;8,056042032;5,693950178;8,142883602;0,081449389;0,311941125;0,393390514;0,049954351;-1,500067022;-1,404813047;-2,904880069;-0,181756668;71,13924051;98,57651246;119,2644483;-20,68793588;0,525616698;0,300353357;0,18798151;0,069337442;0,622486289;0,352941176;0,192239859;0,107583774;73,63636364;106,3492063;119,1288994;-12,779693;0,564254523;0,305693069;0,177948718;0,078974359;0,61185006;0,337254902;0,148925781;0,076171875;-2,49712313;-7,772693894;0,135548984;-7,908242877;-0,038637824;-0,005339712;0,010032792;-0,009636917;0,010636228;0,015686275;0,043314078;0,031411899
Kresimir Nikic;C;CRO;213;25;ALBA Berlin;17;2;15;0,117647059;6,176470588;1,470588235;0,588235294;1,352941176;0,434782609;0;0;-;0,588235294;1,352941176;0,434782609;0,294117647;0,352941176;0,833333333;0,235294118;0,470588235;0,705882353;0,352941176;0,352941176;0,176470588;0,117647059;0,117647059;0,823529412;0,470588235;1,176470588;-1,058823529;1,823529412;0,139013453;0,806451613;103,626943;113,5416667;-9,914723661;92,06760298;104,4522772;-12,3846742;0,434782609;0,5;0,129032258;2;0,419354839;0,923076923;0,193548387;0;0;-;0;-;0,064516129;0,193548387;0,096774194;0,096774194;0,078947368;0,085714286;0,12;0;0,162162162;1;0,040816327;0,037735849;0,052631579;0;0,087912088;0,066666667;0,075;0;0,063492063;0,015625;0,01183432;0,021052632;0;7,291666667;4,14507772;6,879044024;-0,085384988;0,184951963;0,099566975;0,037930276;-6,412802715;-0,328701458;-6,741504174;-0,378514533;73,91096218;103,626943;113,5416667;-9,914723661;0,549450549;0,306122449;0,183856502;0,085201794;0,586021505;0,395604396;0,21875;0,088541667;72,72727273;106,2316285;119,0392501;-12,80762169;0,56645768;0,304020101;0,181211499;0,075462012;0,61838101;0,333333333;0,15839599;0,079699248;1,183689456;-2,604685449;-5,49758348;2,892898031;-0,017007131;0,002102348;0,002645003;0,009739781;-0,032359505;0,062271062;0,06035401;0,008842419
Louis Olinde;F;GER;205;26;ALBA Berlin;17;1;16;0,058823529;22,23529412;8,882352941;1,941176471;3;0,647058824;1,294117647;3,117647059;0,41509434;3,235294118;6,117647059;0,528846154;1,117647059;1,352941176;0,826086957;1,058823529;2,235294118;3,294117647;1,411764706;0,823529412;1,117647059;0,411764706;0,294117647;1,882352941;1,941176471;10,94117647;-3,058823529;7,588235294;0,165809769;1,170542636;105,9347181;111,3372093;-5,402491201;122,9516779;102,0099121;20,94176584;0,634615385;0,656521739;0,124031008;1,75;0,217054264;1,142857143;0,054263566;0,857142857;0,023255814;3;0,387596899;1,14;0,085271318;0,108527132;0,07751938;0,031007752;0,096385542;0,146153846;0,059701493;0,019230769;0,156862745;1,714285714;0,054711246;0,046357616;0,06097561;0,076923077;0,125;0,110294118;0,132450331;0,130434783;0,088467615;0,027616279;0,011824324;0,017595308;0;4,651162791;4,896142433;21,35387492;0,487525836;0,734899429;1,222425265;0,129357171;1,320320337;0,935084178;2,255404515;1,870398729;71,86139494;105,9347181;111,3372093;-5,402491201;0,5578125;0,310030395;0,177377892;0,083547558;0,584732824;0,315789474;0,194074074;0,093333333;74,27009295;101,590106;130,0536673;-28,46356126;0,549713193;0,275092937;0,185358255;0,070093458;0,642226148;0,353658537;0,106860158;0,085751979;-2,408698011;4,344612094;-18,71645796;23,06107005;0,008099307;0,034937458;-0,007980363;0,0134541;-0,057493324;-0,037869063;0,087213916;0,007581354
Gabriele Procida;SG;ITA;198;22;ALBA Berlin;25;5;20;0,2;17,36;8,28;1,84;3,16;0,582278481;1,08;3,72;0,290322581;2,92;6,88;0,424418605;1,36;1,8;0,755555556;0,52;1,12;1,64;0,92;1;1,44;0,36;0,28;0,8;1,88;8,04;-3,68;8,64;0,229787234;0,958333333;105,9701493;115,970516;-10,00036672;103,5697594;104,2414661;-0,671706604;0,502906977;0,541884817;0,166666667;1,611111111;0,12037037;0,846153846;0,078703704;0,705882353;0,074074074;1,3125;0,351851852;0,789473684;0,087962963;0,115740741;0,097222222;0,018518519;0,078767123;0,099415205;0,073529412;0,018867925;0,09623431;0,92;0,031325301;0,034482759;0,032085561;0;0,079545455;0,068571429;0,092592593;0,038461538;0,05345502;0,044226044;0,013062409;0,020304569;0,003389831;2,457002457;5,845771144;21,14617964;-0,061766429;0,77247674;0,710710311;0,065503254;-0,691357108;0,456123085;-0,235234023;0,605602018;73,69385885;105,9701493;115,970516;-10,00036672;0,537878788;0,325301205;0,157446809;0,079787234;0,611398964;0,360795455;0,213114754;0,104665826;72,10787793;104,2322835;117,8957719;-13,66348841;0,565101387;0,298097252;0,190846287;0,082037997;0,600701403;0,33615222;0,135746606;0,066365008;1,585980917;1,737865789;-1,925255908;3,663121697;-0,0272226;0,027203953;-0,033399478;-0,002250763;0,010697561;0,024643235;0,077368148;0,038300818
Elias Rapieque;F;GER;200;20;ALBA Berlin;4;0;4;0;6,25;3,5;0,25;0,75;0,333333333;0,75;1,25;0,6;1;2;0,5;0,75;0,75;1;0,75;0;0,75;0,75;1;0;0;0;0,5;1;3,5;-0,25;3,25;0,213114754;1,076923077;126,9230769;126,4150943;0,507982583;125,071408;126,6022742;-1,530866121;0,6875;0,777777778;0,076923077;2;0,076923077;0;0,076923077;0;0,076923077;3;0,307692308;1,5;0,076923077;0,307692308;0,230769231;0,076923077;0,136363636;0,090909091;0,25;0;0,1875;0,75;0,125;0,111111111;0,142857143;-;0;0;0;-;0,073170732;0;0;0;0;3,773584906;7,692307692;19,91401956;0,060609619;-0,009069316;0,051540303;0,082464485;-0,197607315;-3,907152945;-4,104760261;-0,104014315;78,53996224;126,9230769;126,4150943;0,507982583;0,634615385;0,375;0,147540984;0,06557377;0,697916667;0,352941176;0,211538462;0,134615385;71,75047968;101,1940299;118,5628743;-17,3688444;0,543269231;0,318042813;0,196911197;0,074646075;0,612055641;0,321311475;0,153945666;0,091849935;6,789482565;25,72904707;7,852220088;17,87682698;0,091346154;0,056957187;-0,049370213;-0,009072304;0,085861025;0,031629701;0,057592795;0,042765449
