tm_name;gp;w;l;min;pts;two_ptm;two_pta;two_pt_pct;three_ptm;three_pta;three_pt_pct;fgm;fga;fg_pct;ftm;fta;ft_pct;or_rebounds;dr_rebounds;tr_rebounds;ast;tovers;st;blk;blka;pf;df;val;plus_minus;pace;poss;shooting_chances;off_ppp;def_ppp;off_rtg;def_rtg;net_rtg;efg_pct;ts_pct;rim_freq;rim_pps;paint_freq;paint_pps;mid_freq;mid_pps;c3_freq;c3_pps;l3_freq;l3_pps;ft_ratio;to_pct;lto_pct;dto_pct;ast_pct;ast_pct_2p;ast_pct_3p;ast_pct_ft;ast_ratio;ast_to_ratio;or_pct;or_pct_after_2p;or_pct_after_3p;or_pct_after_ft;dr_pct;dr_pct_after_2p;dr_pct_after_3p;dr_pct_after_ft;tr_pct;st_pct;blk_pct;blk_pct_2p;blk_pct_3p;kills;psf_freq;dsf_freq;sos
ALBA Berlin;34;5;29;202,2058824;78,61764706;22,58823529;41,35294118;0,546230441;7,235294118;24,05882353;0,300733496;29,82352941;65,41176471;0,455935252;11,73529412;16,14705882;0,726775956;11,70588235;22,70588235;34,41176471;19,67647059;15,47058824;6,441176471;2,058823529;3,558823529;21,82352941;18,97058824;79,32352941;-12,67647059;74,93818182;75,76470588;87,64705882;0,896979866;1,058663029;103,765528;120,9193611;-17,15383317;0,511241007;0,544621027;0,17114094;1,509803922;0,211409396;0,885714286;0,089261745;0,781954887;0,027516779;1,06097561;0,243624161;0,896694215;0,077181208;0,176866174;0,099529254;0,07733692;0,542207792;0,52734375;0,764227642;0,344036697;0,224949563;1,271863118;0,319678715;0,341307815;0,314917127;0,184615385;0,680176211;0,646706587;0,706834532;0,736111111;0,491596639;0,085313596;0,032482599;0,047815334;0,002123142;3,852941176;0,561994609;0,466666667;0,495443501
Anadolu Efes Istanbul;39;22;17;200,6410256;85,66666667;21,97435897;38;0,578272605;9,512820513;24,46153846;0,388888889;31,48717949;62,46153846;0,50410509;13,17948718;16,58974359;0,794435858;10,38461538;23,02564103;33,41025641;18,92307692;12,28205128;6,820512821;4;2,102564103;19,56410256;19,07692308;99,56410256;3,692307692;71,00319489;71,23076923;81,66666667;1,048979592;0,989170792;120,2663787;114,3828265;5,883552214;0,580254516;0,617331855;0,149764521;1,672955975;0,230455259;0,970027248;0,085086342;0,752767528;0,04866562;1,490322581;0,247723705;1,117870722;0,08477237;0,150486962;0,075714735;0,074772227;0,496635262;0,445740957;0,757412399;0,290697674;0,231856739;1,540709812;0,330612245;0,344827586;0,308256881;0,307692308;0,67518797;0,659375;0,666666667;0,883116883;0,509980431;0,095169946;0,064569536;0,061571125;0,014955135;4,435897436;0,505897772;0,470430108;0,506450724
AS Monaco;41;25;16;201,2195122;85,80487805;22,6097561;40,70731707;0,555422409;8,195121951;22,73170732;0,360515021;30,80487805;63,43902439;0,485582468;16;20,7804878;0,769953052;10,46341463;22,85365854;33,31707317;18,92682927;10,82926829;6,634146341;2,707317073;2,097560976;21,73170732;21,82926829;97,14634146;3,12195122;72,0969697;72,53658537;83,12195122;1,032276995;0,988338192;118,2918628;114,1029956;4,188867187;0,55017301;0,593454791;0,093016432;1,552050473;0,284037559;1,092975207;0,112676056;0,791666667;0,01907277;1,246153846;0,252640845;1,076655052;0,106514085;0,130473112;0,070232148;0,060240964;0,484092327;0,494066882;0,714285714;0,229411765;0,228034088;1,747747748;0,309300649;0,347945205;0,292114695;0,11827957;0,675072046;0,647234679;0,677367576;0,869047619;0,492252252;0,091551666;0,043925603;0,065606362;0,008840864;4,268292683;0,494949495;0,487150838;0,509434396
Baskonia Vitoria-Gasteiz;34;14;20;200,7352941;82,55882353;20,97058824;38,38235294;0,546360153;9;26,11764706;0,344594595;29,97058824;64,5;0,464660283;13,61764706;17,73529412;0,767827529;12,26470588;23,91176471;36,17647059;18,14705882;12,08823529;5,441176471;2,941176471;3,205882353;17,64705882;18,94117647;92,61764706;-1,058823529;71,06227106;71,32352941;83,91176471;0,983876621;1,01282508;115,7525773;117,2371134;-1,484536082;0,534427725;0,574733825;0,10339993;1,674576271;0,270592359;1,025906736;0,08342096;0,588235294;0,022432527;1,171875;0,285664213;1,034355828;0,087276551;0,144616467;0,070021112;0,074595355;0,492418196;0,429172511;0,77124183;0,320512821;0,217100633;1,501216545;0,348370927;0,375432526;0,336936937;0,127272727;0,682619647;0,636513158;0,71588785;0,902439024;0,515075377;0,07628866;0,044622936;0,064732143;0,006688963;4,323529412;0,435;0,501552795;0,494518603
Crvena Zvezda Meridianbet Belgrade;35;18;17;203,5714286;83,05714286;20,22857143;36,71428571;0,550972763;9,371428571;25,82857143;0,362831858;29,6;62,54285714;0,473275468;14,48571429;19,65714286;0,736918605;11,14285714;22,6;33,74285714;20;12,4;6,371428571;1,8;2,371428571;20,97142857;20,37142857;91,48571429;1,485714286;70,76491228;72,02857143;83,28571429;0,997255575;0,984143399;115,3113844;113,2936508;2,017733578;0,548195523;0,585852479;0,118010292;1,523255814;0,248027444;1,009681881;0,074785592;0,743119266;0,047341338;1,5;0,259348199;1,027777778;0,100171527;0,14908966;0,086224665;0,062864995;0,537989256;0,529661017;0,737804878;0,314606742;0,240467193;1,612903226;0,323651452;0,355239787;0,320072333;0,144578313;0,676646707;0,666666667;0,669642857;0,813559322;0,49747262;0,088492063;0,029018885;0,02416212;0,004504505;4,428571429;0,465940054;0,504908836;0,495000064
EA7 Emporio Armani Milan;34;17;17;200,7352941;85,44117647;19,02941176;35,23529412;0,540066778;9,970588235;25,23529412;0,395104895;29;60,47058824;0,479571984;17,47058824;21,05882353;0,829608939;8,823529412;23,08823529;31,91176471;17,26470588;12,05882353;6,411764706;2;1,852941176;19,61764706;21,67647059;96,11764706;-1,235294118;72,11721612;72,38235294;81,5;1,048357994;1,047263682;118,0414466;118,8306452;-0,789198595;0,562013619;0,615205421;0,129195236;1,541899441;0,220858896;0,960784314;0,082280765;0,675438596;0,036088055;1,65;0,271382173;1,132978723;0,110068567;0,148496921;0,069177834;0,079319087;0,459607843;0,389489954;0,793510324;0,224913495;0,212604129;1,431707317;0,271493213;0,302752294;0,246987952;0,2;0,705935252;0,668639053;0,7208413;0,875;0,48940009;0,087903226;0,031924883;0,049432739;0,004464286;3,911764706;0,530734633;0,50339213;0,494302993
FC Barcelona;39;22;17;201,9230769;87,64102564;23,12820513;40,17948718;0,575622208;9,564102564;24,79487179;0,385729059;32,69230769;64,97435897;0,503157064;12,69230769;16,20512821;0,783227848;10,25641026;23,46153846;33,71794872;19,61538462;12,07692308;7,307692308;1,820512821;1,846153846;20,94871795;19,69230769;99,12820513;2,897435897;72,78730159;73,48717949;83,8974359;1,044621027;1,005170316;119,2602931;115,3577661;3,902526948;0,576756117;0,610139236;0,096577017;1,620253165;0,25794621;1,075829384;0,124388753;0,943488943;0,023533007;1,519480519;0,269254279;1,137343927;0,081601467;0,144213105;0,0731782;0,071034905;0,499020248;0,463414634;0,721179625;0,30078125;0,234231476;1,624203822;0,315208826;0,317901235;0,321880651;0,230769231;0,686936937;0,659966499;0,695121951;0,835616438;0,505574779;0,09947644;0,028629032;0,040774015;0,007744434;4,307692308;0,458996328;0,432291667;0,508488379
FC Bayern Munich;36;20;16;200,6944444;87,02777778;17,97222222;31,22222222;0,575622776;12,55555556;32;0,392361111;30,52777778;63,22222222;0,482864675;13,41666667;16,02777778;0,837088388;10,25;21,80555556;32,05555556;18,77777778;13,44444444;6,555555556;1,25;2,527777778;20,36111111;19,02777778;93,05555556;-0,972222222;72,6366782;72,88888889;83,30555556;1,044681561;1,056;119,3978659;121,2863706;-1,888504744;0,582161687;0,622862823;0,101033678;1,465346535;0,198399466;1,092436975;0,075358453;0,884955752;0,04168056;1,392;0,338779593;1,154527559;0,079693231;0,161710658;0,084196458;0,0775142;0,507137491;0,497681607;0,657079646;0,24137931;0,225860341;1,396694215;0,312182741;0,303030303;0,327327327;0,183673469;0,674398625;0,633776091;0,699463327;0,764705882;0,491901108;0,090352221;0,019642078;0,030007502;0,004175365;4,361111111;0,46521146;0,437956204;0,496232742
Fenerbahce Beko Istanbul;39;28;11;200,6410256;83,64102564;17,82051282;33,87179487;0,526116578;11,23076923;29,35897436;0,382532751;29,05128205;63,23076923;0,4594485;14,30769231;17,46153846;0,81938326;11,79487179;23,76923077;35,56410256;17,02564103;12,25641026;6,153846154;2,487179487;1,666666667;21,20512821;20,1025641;92,51282051;3,025641026;70,72204473;70,94871795;82,87179487;1,009282178;0,993051169;117,8894109;113,5018051;4,38760586;0,548256285;0,592229484;0,079517327;1,509727626;0,222772277;1;0,106435644;0,819767442;0,048267327;1,25;0,301980198;1,146516393;0,089108911;0,148125194;0,068484661;0,079640533;0,472597865;0,372661871;0,799086758;0,202205882;0,205763867;1,389121339;0,342261905;0,328968903;0,352671756;0,215686275;0,702272727;0,691629956;0,718283582;0,782051282;0,520645646;0,086642599;0,040248963;0,037908497;0,005681818;4,743589744;0,475211608;0,451530612;0,505109722
LDLC ASVEL Villeurbanne;34;13;21;200,7352941;80,91176471;18,82352941;34,88235294;0,539629005;9,088235294;24,91176471;0,364817001;27,91176471;59,79411765;0,466797836;16;20,41176471;0,783861671;10,11764706;22,52941176;32,64705882;17,79411765;13,79411765;6,558823529;2,382352941;2,941176471;21,58823529;20,52941176;86,20588235;-4,411764706;71,73626374;72;82,29411765;0,983202287;1,013626834;112,377451;117,8310317;-5,453580701;0,542793901;0,590596823;0,142601858;1,458646617;0,224446033;0,929936306;0,056826305;0,716981132;0,036097212;1,069306931;0,264117227;1,104194858;0,10578985;0,167979943;0,087750716;0,080229226;0,494281046;0,4890625;0,708737864;0,265454545;0,216690544;1,289978678;0,302019315;0,354596623;0,261121857;0,204819277;0,660344828;0,639853748;0,659090909;0,842105263;0,482818617;0,090576767;0,037832788;0,052672956;0,008055236;4,117647059;0,489100817;0,53008596;0,494417474
